City,State,Country,NumUsers,PayrollLast90,HasAutoPilot,Sales45,GoalCheck,StaffSalaries,MarketingROISource,EmailReports,AvgNoLoginsDay30,SalesMixActive,ConsistencyActive,DecathlonActive,CompApplied,ManualQuotes,ManualActivities,ECRMQuotes,ECRMActivities,SalesTrackMod,ActivityTrackMod,BasicCompMod,CompUpTo10Mod,PremiumCompMod,PremiumBuilderMod,ROIMod,AspirantMod,EmailReportMod,PointsMod,VitalStatsMod,GoalsMod,BusinessUnitMod,ShowModifyCompPlanMod
Franklin,TN,USA,4,5,0,10,10,5,5,5,20,yes,yes,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,USA,2,5,10,10,10,0,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Jupiter,FL,USA,10,5,0,10,10,5,5,0,20,yes,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,0,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,9,5,0,10,10,0,5,0,20,yes,yes,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Gresham,OR,USA,5,0,0,10,10,0,5,5,20,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Minneapolis ",MN,USA,7,5,10,10,10,5,5,0,20,no,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Tacoma,WA,USA,4,5,10,10,10,5,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Fleetwood,PA,USA,5,5,10,10,10,0,5,0,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Shalimar,FL,USA,7,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Elk River,MN,USA,7,5,10,10,10,5,5,5,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,0,10,10,5,5,0,20,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,0,0,10,10,5,5,5,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
"Columbia ",SC,USA,4,5,0,0,10,0,5,0,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Surprise,AZ,USA,3,0,0,10,10,0,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Laurel ",MD,USA,3,5,10,10,10,0,5,5,0,yes,no,no,yes,yes,no,yes,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Saint Petersburg,FL,USA,5,5,10,10,10,0,5,5,20,no,no,no,yes,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
San Antonio,TX,USA,8,5,10,10,10,0,5,5,20,no,no,no,yes,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Apple Valley,CA,USA,4,0,0,10,10,0,5,5,20,no,no,no,no,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Pethesda,MD,USA,20,5,10,10,10,5,5,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
