City,State,Country,NumUsers,PayrollLast90,HasAutoPilot,Sales45,GoalCheck,StaffSalaries,MarketingROISource,EmailReports,ActivityLast30,QuoteLast30,AvgNoLoginsDay30,SalesMixActive,ConsistencyActive,DecathlonActive,CompApplied,SalesTrackMod,ActivityTrackMod,BasicCompMod,CompUpTo10Mod,PremiumCompMod,PremiumBuilderMod,ROIMod,AspirantMod,EmailReportMod,PointsMod,VitalStatsMod,GoalsMod,BusinessUnitMod,ShowModifyCompPlanMod
Thornhill,ON,Canada,4,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Welland,ON,Canada,7,5,10,10,10,5,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
OTTAWA ON,ON,Canada,10,5,0,10,10,0,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Indianapolis,IN,USA,6,0,10,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Evansville,IN,USA,4,5,0,10,10,5,5,0,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,0,0,10,10,0,5,0,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,10,10,0,5,5,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Scarborough,ON,Canada,7,5,0,10,10,5,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Smiths Falls,ON,Canada,3,5,10,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Calgary ",AB,Canada,8,0,10,10,10,0,5,0,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Calgary,AB,Canada,4,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,WA,NULL,1,0,0,0,10,0,5,0,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
CALGARY,AB,Canada,8,0,10,10,10,5,5,0,10,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Woodstock,ON,Canada,5,5,10,10,10,0,5,5,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Uxbridge,ON,Canada,3,5,10,10,10,0,5,5,10,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,13,0,0,10,10,0,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Mississauga,ON,Canada,3,5,10,10,10,0,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,47,5,10,0,10,0,0,5,10,0,20,no,no,no,no,no,yes,no,no,no,no,no,no,yes,yes,yes,no,yes,no
NULL,NULL,NULL,6,0,0,10,10,0,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"oakville ",ON,Canada,6,5,10,10,10,5,5,5,10,10,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Whitby,ON,Canada,5,0,0,10,10,5,5,5,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Kingston,ON,Canada,4,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Etobicoke,ON,Canada,7,5,10,10,10,0,5,0,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Richmond Hill,ON,Canada,9,5,10,10,10,5,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,5,0,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Richmond Hill,ON,Canada,10,5,10,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Burlington,ON,Canada,5,5,10,10,10,0,5,5,0,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
st. albert,AB,Canada,7,5,10,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
KINGSTON,ON,Canada,4,5,0,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Windsor,ON,Canada,5,5,10,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Brampton,ON,Canada,4,0,0,10,10,0,5,0,0,0,20,no,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,0,10,10,0,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Edmonton,AB,Canada,5,5,10,10,10,0,5,5,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Oakville,ON,Canada,10,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Mississauga ",ON,Canada,4,5,10,10,10,5,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,10,10,0,5,0,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Grimsby,ON,Canada,4,5,10,10,10,0,5,0,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,12,5,10,10,10,0,0,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,0,0,10,10,5,5,5,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
Mississauga,ON,Canada,6,5,10,10,10,5,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,10,10,10,5,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Toronto,ON,Canada,8,5,0,10,10,0,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Woodbridge,ON,Canada,2,5,0,10,10,0,5,0,0,0,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Kingston,ON,Canada,6,5,10,10,10,0,5,5,10,10,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
CALGARY,AB,Canada,5,5,10,10,10,0,5,5,10,10,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
"Scarborough ",ON,Canada,9,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Mississauga,ON,Canada,6,5,0,10,10,0,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Maple,ON,Canada,5,5,0,10,10,0,5,5,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Lafayette,LA,USA,5,5,10,10,10,0,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,5,5,10,10,10,0,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,6,0,0,10,10,0,5,0,0,0,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,5,5,0,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Milton,ON,Canada,8,5,0,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Brockville,ON,Canada,14,5,10,10,10,5,5,5,10,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
mississauga,ON,Canada,5,5,10,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ancaster,ON,Canada,6,5,10,10,10,0,5,5,10,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,3,5,10,0,10,0,5,5,0,0,0,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Etobicoke,ON,Canada,4,5,0,10,10,0,5,5,0,0,20,yes,yes,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Stockton,CA,USA,24,5,10,10,10,5,5,0,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Edmonton,AB,Canada,10,5,0,10,10,0,5,5,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Mississauga,ON,Canada,5,5,10,10,10,5,5,5,10,0,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Calgary,AB,Canada,5,5,0,10,10,0,5,0,10,0,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Owen Sound,ON,Canada,5,5,10,10,10,5,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Naples,FL,USA,11,5,0,10,10,5,5,5,10,0,20,yes,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
kitchener,ON,Canada,11,5,0,10,10,5,5,5,0,0,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,8,5,0,10,10,5,5,0,0,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
St Augustine,FL,USA,3,5,10,10,10,5,5,5,10,10,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,4,5,0,10,10,0,5,5,10,10,20,yes,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Fredericton,NB,Canada,8,5,10,10,10,0,5,0,10,0,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Toronto,ON,Canada,5,5,0,10,10,0,5,0,0,0,20,no,yes,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Brampton,ON,Canada,3,5,10,10,10,0,5,5,0,0,20,yes,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Brantford,ON,Canada,5,5,0,10,10,5,5,5,0,10,20,no,no,no,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
NULL,NULL,NULL,104,0,0,10,10,0,0,5,10,10,20,no,no,no,no,yes,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,yes,no
Ancacter,ON,Canada,11,5,0,10,10,5,5,5,10,10,20,yes,no,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no
